year,president,party
1789,George Washington,Other
1793,George Washington,Other
1797,John Adams,Other
1801,Thomas Jefferson,Other
1805,Thomas Jefferson,Other
1809,James Madison,Other
1813,James Madison,Other
1817,James Monroe,Other
1821,James Monroe,Other
1825,John Quincy Adams,Other
1829,Andrew Jackson,Democrat
1833,Andrew Jackson,Democrat
1837,Martin Van Buren,Democrat
1841,William Henry Harrison,Other
1845,James K. Polk,Democrat
1849,Zachary Taylor,Other
1853,Franklin Pierce,Democrat
1857,James Buchanan,Democrat
1861,Abraham Lincoln,Republican
1865,Abraham Lincoln,Republican
1869,Ulysses S. Grant,Republican
1873,Ulysses S. Grant,Republican
1877,Rutherford B. Hayes,Republican
1881,James A. Garfield,Republican
1885,Grover Cleveland,Democrat
1889,Benjamin Harrison,Republican
1893,Grover Cleveland,Democrat
1897,William McKinley,Republican
1901,William McKinley,Republican
1905,Theodore Roosevelt,Republican
1909,William Howard Taft,Republican
1913,Woodrow Wilson,Democrat
1917,Woodrow Wilson,Democrat
1921,Warren G. Harding,Republican
1925,Calvin Coolidge,Republican
1929,Herbert Hoover,Republican
1933,Franklin Roosevelt,Democrat
1937,Franklin Roosevelt,Democrat
1941,Franklin Roosevelt,Democrat
1945,Franklin Roosevelt,Democrat
1949,Harry S. Truman,Democrat
1953,Dwight D. Eisenhower,Republican
1957,Dwight D. Eisenhower,Republican
1961,John F. Kennedy,Democrat
1965,Lyndon B. Johnson,Democrat
1969,Richard M. Nixon,Republican
1973,Richard M. Nixon,Republican
1977,Jimmy Carter,Democrat
1981,Ronald Reagan,Republican
1985,Ronald Reagan,Republican
1989,George Bush,Republican
1993,Bill Clinton,Democrat
1997,Bill Clinton,Democrat
2001,George W. Bush,Republican
2005,George W. Bush,Republican
2009,Barack Obama,Democrat
2013,Barack Obama,Democrat
2017,Donald Trump,Republican
